"","terminal_model","date_sold","date_repaired","part_code","failure_description"
"53","A",2017-05-12,2017-11-24,"K01","Key not responding"
"54","A",2019-02-14,NA,"K01",NA
"55","A",2019-02-19,NA,"S01",NA
"56","A",2019-04-10,NA,"S01",NA
"57","A",2017-11-03,2018-01-08,"K01","Key not responding"
"58","A",2017-12-18,NA,"S01",NA
"59","A",2017-12-29,2018-01-10,"K01","Key not responding"
"60","A",2019-04-11,2019-11-26,"K01","Key not responding"
"61","A",2018-02-20,2018-10-13,"K01","Key not responding"
"62","A",2019-12-05,NA,"S01",NA
"63","A",2018-01-09,2019-07-01,"S01","Screen shutdown"
"64","A",2018-12-07,NA,"K01",NA
"65","A",2019-10-09,NA,"S01",NA
"66","A",2019-07-24,2019-11-28,"K01","Key not responding"
"67","A",2019-12-31,NA,"S01",NA
"68","A",2018-05-14,NA,"S01",NA
"69","A",2018-10-07,2018-12-09,"S01","Screen shutdown"
"70","A",2018-05-29,NA,"S01",NA
"71","A",2018-04-14,NA,"S01",NA
"72","A",2018-05-27,NA,"S01",NA
"73","A",2018-12-25,NA,"K01",NA
"74","A",2019-03-06,NA,"S01",NA
"75","A",2019-12-19,NA,"K01",NA
"76","A",2019-12-23,NA,"S01",NA
"77","A",2017-12-22,2018-01-18,"K01","Key not responding"
"78","A",2018-09-16,NA,"S01",NA
"79","A",2017-12-17,NA,"S01",NA
"80","A",2017-05-28,NA,"S01",NA
"81","A",2019-11-24,NA,"K01",NA
"82","A",2019-08-05,NA,"S01",NA
"83","A",2017-11-10,2019-12-02,"S01","Screen flickering"
"84","A",2019-12-15,NA,"K01",NA
"85","A",2018-02-25,NA,"S01",NA
"86","A",2019-04-29,NA,"K01",NA
"87","A",2019-12-30,NA,"S01",NA
"88","A",2018-12-20,NA,"S01",NA
"89","A",2018-09-16,2018-11-29,"K01","Key not responding"
"90","A",2017-12-02,2019-04-08,"S01","Screen shutdown"
"91","A",2019-10-14,NA,"S01",NA
"92","A",2018-03-12,2019-03-03,"K01","Key not responding"
"93","A",2019-11-07,NA,"S01",NA
"94","A",2017-02-11,2018-08-28,"S01","Screen flickering"
"95","A",2019-04-21,NA,"S01",NA
"96","A",2019-02-11,2019-07-22,"S01","Screen shutdown"
"97","A",2019-12-14,NA,"S01",NA
"98","A",2019-04-10,2019-06-12,"K01","Key not responding"
"99","A",2017-01-20,2019-11-09,"S01","Screen flickering"
"100","A",2018-09-19,NA,"S01",NA
"101","A",2017-11-14,2019-01-14,"K01","Key not responding"
"102","A",2019-05-05,NA,"K01",NA
"103","A",2019-08-14,NA,"S01",NA
"104","A",2017-12-10,NA,"K01",NA
"105","A",2019-12-20,NA,"S01",NA
"106","A",2019-11-05,NA,"S01",NA
"107","A",2018-12-16,NA,"K01",NA
"108","A",2018-11-23,2018-12-12,"K01","Key not responding"
"109","A",2017-12-12,NA,"K01",NA
"110","A",2018-10-31,NA,"S01",NA
"111","A",2018-06-06,2018-08-03,"K01","Key not responding"
"112","A",2019-09-28,NA,"S01",NA
"113","A",2019-12-27,NA,"S01",NA
"114","A",2019-12-04,NA,"S01",NA
"115","A",2017-01-05,2019-07-17,"S01","Screen shutdown"
"116","A",2018-06-08,2018-10-19,"K01","Key not responding"
"117","A",2018-10-03,NA,"S01",NA
"118","A",2017-11-30,NA,"K01",NA
"119","A",2019-06-08,NA,"S01",NA
"120","A",2019-12-23,NA,"K01",NA
"121","A",2018-01-23,2018-04-27,"S01","Screen shutdown"
"122","A",2018-02-07,2018-03-05,"K01","Key not responding"
"123","A",2019-01-10,NA,"S01",NA
"124","A",2018-09-11,NA,"S01",NA
"125","A",2019-11-05,NA,"S01",NA
"126","A",2017-10-19,NA,"S01",NA
"127","A",2019-12-16,NA,"K01",NA
"128","A",2017-11-26,NA,"S01",NA
"129","A",2019-12-20,2019-12-25,"K01","Key not responding"
"130","A",2017-03-30,2018-06-26,"K01","Key not responding"
"131","A",2018-12-18,NA,"S01",NA
"132","A",2017-09-24,NA,"S01",NA
"133","A",2018-07-07,2019-11-21,"S01","Screen shutdown"
"134","A",2018-12-16,2019-02-07,"S01","Screen shutdown"
"135","A",2017-12-13,NA,"S01",NA
"136","A",2019-12-03,NA,"K01",NA
"137","A",2019-11-26,NA,"S01",NA
"138","A",2019-08-30,NA,"S01",NA
"139","A",2019-11-29,NA,"S01",NA
"140","A",2019-04-18,NA,"S01",NA
"141","A",2018-07-10,NA,"S01",NA
"142","A",2017-01-13,2018-05-15,"K01","Key not responding"
"143","A",2018-04-25,2018-04-25,"K01","Key not responding"
"144","A",2017-12-24,NA,"S01",NA
"145","A",2017-12-12,NA,"S01",NA
"146","A",2017-01-22,NA,"S01",NA
"147","A",2017-11-27,2018-03-01,"K01","Key not responding"
"148","A",2018-07-26,2019-11-11,"K01","Key not responding"
"149","A",2019-12-27,NA,"S01",NA
"150","A",2017-09-28,NA,"S01",NA
"151","A",2018-09-08,NA,"S01",NA
"152","A",2019-04-11,NA,"K01",NA
"153","A",2019-10-11,NA,"S01",NA
"154","A",2017-08-12,2018-09-20,"K01","Key not responding"
"155","A",2019-03-29,2019-06-22,"S01","Screen shutdown"
"156","A",2018-11-13,NA,"K01",NA
"157","A",2017-02-19,2018-01-31,"K01","Key not responding"
"158","A",2017-12-09,2018-11-22,"S01","Screen shutdown"
"159","A",2019-09-26,NA,"S01",NA
"160","A",2019-11-04,NA,"S01",NA
"161","A",2019-12-16,NA,"S01",NA
"162","A",2019-04-24,NA,"S01",NA
"163","A",2018-07-05,NA,"K01",NA
"164","A",2019-11-11,NA,"S01",NA
"165","A",2019-10-21,NA,"K01",NA
"166","A",2017-07-18,2019-10-30,"K01","Key not responding"
"167","A",2018-03-19,2018-04-19,"K01","Key not responding"
"168","A",2019-06-15,2019-06-26,"K01","Key not responding"
"169","A",2017-09-28,2019-08-08,"K01","Key not responding"
"170","A",2018-12-29,NA,"S01",NA
"171","A",2019-07-24,2019-08-17,"K01","Key not responding"
"172","A",2018-08-05,NA,"K01",NA
"173","A",2017-03-08,NA,"S01",NA
"174","A",2019-10-24,NA,"S01",NA
"175","A",2019-12-17,NA,"K01",NA
"176","A",2018-05-11,2019-06-23,"K01","Key not responding"
"177","A",2018-10-27,NA,"S01",NA
"178","A",2019-12-23,NA,"S01",NA
"179","A",2017-07-11,NA,"K01",NA
"180","A",2019-07-31,2019-12-21,"K01","Key not responding"
"181","A",2019-12-19,NA,"S01",NA
"182","A",2017-02-06,2018-10-10,"K01","Key not responding"
"183","A",2017-02-08,NA,"K01",NA
"184","A",2018-08-14,NA,"S01",NA
"185","A",2019-01-13,NA,"S01",NA
"186","A",2019-03-13,NA,"S01",NA
"187","A",2019-01-09,2019-05-11,"K01","Key not responding"
"188","A",2018-07-17,NA,"S01",NA
"189","A",2019-04-15,NA,"S01",NA
"190","A",2019-07-19,NA,"S01",NA
"191","A",2018-08-12,2019-09-27,"S01","Screen shutdown"
"192","A",2018-08-31,2018-12-13,"K01","Key not responding"
"193","A",2019-10-23,NA,"S01",NA
"194","A",2019-09-11,NA,"S01",NA
"195","A",2019-09-05,NA,"K01",NA
"196","A",2018-04-19,2019-10-14,"K01","Key not responding"
"197","A",2019-07-13,NA,"S01",NA
"198","A",2018-07-09,NA,"S01",NA
"199","A",2019-10-31,NA,"S01",NA
"200","A",2018-12-25,NA,"S01",NA
"201","A",2019-08-11,2019-11-25,"K01","Key not responding"
"202","A",2019-12-08,NA,"S01",NA
"203","A",2018-12-17,NA,"S01",NA
"204","A",2017-11-11,NA,"S01",NA
"205","A",2019-01-14,NA,"S01",NA
"206","A",2018-07-09,NA,"S01",NA
"207","A",2017-02-19,2019-11-06,"S01","Screen shutdown"
"208","A",2018-12-28,2019-03-13,"K01","Key not responding"
"209","A",2019-12-10,NA,"S01",NA
"210","A",2017-08-27,NA,"S01",NA
"211","A",2017-05-29,2019-07-11,"S01","Screen flickering"
"212","A",2019-11-29,NA,"S01",NA
"213","A",2018-06-01,NA,"K01",NA
"214","A",2019-07-04,NA,"K01",NA
"215","A",2019-05-26,NA,"S01",NA
"216","A",2019-12-19,NA,"K01",NA
"217","A",2019-09-18,NA,"S01",NA
"218","A",2019-03-26,NA,"S01",NA
"219","A",2019-02-12,NA,"S01",NA
"220","A",2018-11-20,NA,"S01",NA
"221","A",2017-09-28,NA,"K01",NA
"222","A",2019-12-13,NA,"S01",NA
"223","A",2019-05-09,NA,"S01",NA
"224","A",2019-06-14,NA,"S01",NA
"225","A",2018-03-29,2018-07-24,"K01","Key not responding"
"226","A",2018-06-11,NA,"S01",NA
"227","A",2019-12-21,NA,"S01",NA
"228","A",2017-05-03,NA,"S01",NA
"229","A",2018-02-08,NA,"S01",NA
"230","A",2019-12-26,NA,"S01",NA
"231","A",2019-04-03,NA,"K01",NA
"232","A",2019-02-22,NA,"K01",NA
"233","A",2018-12-11,2019-08-06,"S01","Screen shutdown"
"234","A",2017-10-16,2018-09-11,"S01","Screen shutdown"
"235","A",2018-12-13,NA,"S01",NA
"236","A",2018-12-19,NA,"S01",NA
"237","A",2018-03-24,2019-03-25,"K01","Key not responding"
"238","A",2019-12-25,NA,"K01",NA
"239","A",2017-11-21,NA,"S01",NA
"240","A",2019-11-26,NA,"S01",NA
"241","A",2019-11-17,NA,"S01",NA
"242","A",2019-12-18,NA,"K01",NA
"243","A",2017-10-20,NA,"S01",NA
"244","A",2019-09-24,NA,"K01",NA
"245","A",2019-04-22,NA,"K01",NA
"246","A",2019-11-28,NA,"K01",NA
"247","A",2018-09-20,NA,"S01",NA
"248","A",2018-05-05,2019-09-09,"K01","Key not responding"
"249","A",2019-09-18,NA,"S01",NA
"250","A",2018-04-19,NA,"S01",NA
"251","A",2017-12-22,NA,"S01",NA
"252","A",2019-08-06,NA,"S01",NA
"253","A",2017-08-19,NA,"S01",NA
"254","A",2018-12-16,2019-01-19,"K01","Key not responding"
"255","A",2018-04-10,NA,"S01",NA
"256","A",2019-11-30,NA,"S01",NA
"257","A",2019-05-22,NA,"S01",NA
"258","A",2019-05-16,NA,"S01",NA
"259","A",2018-12-21,NA,"S01",NA
"260","A",2017-12-21,2019-11-12,"S01","Screen shutdown"
"261","A",2019-12-16,NA,"S01",NA
"262","A",2018-03-24,2018-03-31,"K01","Key not responding"
"263","A",2018-04-04,NA,"S01",NA
"264","A",2017-12-20,2019-08-21,"K01","Key not responding"
"265","A",2019-03-18,NA,"S01",NA
"266","A",2018-08-03,NA,"S01",NA
"267","A",2019-03-04,NA,"S01",NA
"268","A",2019-05-31,2019-06-01,"K01","Key not responding"
"269","A",2019-02-17,NA,"S01",NA
"270","A",2018-10-14,2018-10-25,"S01","Screen shutdown"
"271","A",2017-07-05,2019-12-18,"S01","Screen flickering"
"272","A",2018-02-05,NA,"S01",NA
"273","A",2018-05-05,NA,"K01",NA
"274","A",2017-11-27,NA,"S01",NA
"275","A",2018-09-10,NA,"S01",NA
"276","A",2019-05-17,2019-05-26,"K01","Key not responding"
"277","A",2018-05-23,NA,"S01",NA
"278","A",2019-08-18,NA,"K01",NA
"279","A",2019-03-14,NA,"S01",NA
"280","A",2018-11-28,NA,"S01",NA
"281","A",2019-07-11,2019-08-24,"K01","Key not responding"
"282","A",2017-02-27,2017-06-08,"K01","Key not responding"
"283","A",2018-11-29,NA,"K01",NA
"284","A",2019-10-11,NA,"S01",NA
"285","A",2018-12-29,2019-06-29,"K01","Key not responding"
"286","A",2017-08-15,2019-10-28,"K01","Key not responding"
"287","A",2018-08-06,2019-05-18,"K01","Key not responding"
"288","A",2019-08-14,NA,"K01",NA
"289","A",2019-12-16,NA,"S01",NA
"290","A",2019-12-26,NA,"K01",NA
"291","A",2019-03-10,NA,"S01",NA
"292","A",2019-09-03,NA,"K01",NA
"293","A",2018-07-26,NA,"S01",NA
"294","A",2017-10-26,2018-09-14,"K01","Key not responding"
"295","A",2018-06-03,NA,"S01",NA
"296","A",2019-05-06,NA,"S01",NA
"297","A",2019-10-24,NA,"S01",NA
"298","A",2019-02-05,NA,"S01",NA
"299","A",2018-11-13,2019-02-12,"S01","Screen shutdown"
"300","A",2019-10-20,NA,"S01",NA
"301","A",2017-12-18,NA,"S01",NA
"302","A",2017-09-10,2017-09-20,"K01","Key not responding"
"303","A",2019-12-10,NA,"K01",NA
"304","A",2019-07-11,2019-12-03,"S01","Screen shutdown"
"305","A",2019-07-16,NA,"S01",NA
"306","A",2017-06-20,NA,"S01",NA
"307","A",2018-08-16,2019-06-23,"K01","Key not responding"
"308","A",2019-11-18,2019-11-20,"S01","Screen shutdown"
"309","A",2019-01-20,NA,"S01",NA
"310","A",2019-12-13,NA,"S01",NA
"311","A",2019-09-07,NA,"S01",NA
"312","A",2018-11-06,2019-09-29,"S01","Screen shutdown"
"313","A",2019-06-10,2019-09-27,"K01","Key not responding"
"314","A",2019-10-18,NA,"S01",NA
"315","A",2019-10-25,NA,"S01",NA
"316","A",2019-11-29,NA,"S01",NA
"317","A",2017-09-25,2019-01-12,"K01","Key not responding"
"318","A",2019-08-13,NA,"K01",NA
"319","A",2019-03-03,2019-12-28,"K01","Key not responding"
"320","A",2017-05-13,2017-05-17,"K01","Key not responding"
"321","A",2018-11-22,NA,"K01",NA
"322","A",2019-11-22,NA,"K01",NA
"323","A",2019-01-07,2020-01-11,"K01","Key not responding"
"324","A",2019-08-26,NA,"K01",NA
"325","A",2019-08-28,NA,"K01",NA
"326","A",2018-07-05,NA,"S01",NA
"327","A",2018-06-10,2018-09-16,"K01","Key not responding"
"328","A",2019-07-31,NA,"S01",NA
"329","A",2019-05-21,NA,"K01",NA
"330","A",2018-11-23,2019-01-05,"K01","Key not responding"
"331","A",2019-12-22,NA,"S01",NA
"332","A",2018-10-19,NA,"S01",NA
"333","A",2017-06-30,2018-12-16,"S01","Screen shutdown"
"334","A",2018-11-20,2018-12-29,"K01","Key not responding"
"335","A",2018-04-29,2018-07-10,"K01","Key not responding"
"336","A",2019-07-13,NA,"S01",NA
"337","A",2017-06-27,2018-09-03,"K01","Key not responding"
"338","A",2019-12-07,NA,"S01",NA
"339","A",2018-02-24,NA,"S01",NA
"340","A",2018-01-26,NA,"S01",NA
"341","A",2019-12-11,NA,"S01",NA
"342","A",2019-12-08,NA,"S01",NA
"343","A",2018-03-25,NA,"S01",NA
"344","A",2019-12-30,NA,"S01",NA
"345","A",2017-10-23,2018-03-16,"S01","Screen shutdown"
"346","A",2018-11-18,NA,"S01",NA
"347","A",2019-12-04,NA,"S01",NA
"348","A",2017-09-22,2019-04-09,"S01","Screen shutdown"
"349","A",2019-07-27,NA,"S01",NA
"350","A",2018-03-06,NA,"S01",NA
"351","A",2018-10-30,NA,"K01",NA
"352","A",2018-12-31,NA,"S01",NA
"353","A",2019-04-12,NA,"S01",NA
"354","A",2019-01-20,2019-03-31,"K01","Key not responding"
"355","A",2019-06-24,NA,"S01",NA
"356","A",2018-12-11,2019-01-11,"K01","Key not responding"
"357","A",2018-10-27,NA,"K01",NA
"358","A",2017-05-15,2017-06-18,"K01","Key not responding"
"359","A",2018-05-09,NA,"S01",NA
"360","A",2019-11-20,NA,"S01",NA
"361","A",2019-12-29,NA,"K01",NA
"362","A",2019-04-08,NA,"S01",NA
"363","A",2018-11-05,NA,"S01",NA
"364","A",2019-01-21,NA,"S01",NA
"365","A",2017-11-17,NA,"K01",NA
"366","A",2017-12-14,NA,"S01",NA
"367","A",2017-06-17,2018-02-12,"S01","Screen shutdown"
"368","A",2017-02-10,NA,"S01",NA
"369","A",2019-06-26,2019-12-17,"K01","Key not responding"
"370","A",2019-12-09,2019-12-22,"K01","Key not responding"
"371","A",2017-08-06,2019-06-15,"K01","Key not responding"
"372","A",2019-04-09,2020-01-03,"S01","Screen shutdown"
"373","A",2019-06-27,NA,"S01",NA
"374","A",2019-12-23,NA,"S01",NA
"375","A",2019-06-09,NA,"S01",NA
"376","A",2017-08-11,2017-09-07,"K01","Key not responding"
"377","A",2019-11-17,NA,"K01",NA
"378","A",2019-01-15,NA,"S01",NA
"379","A",2017-08-06,2017-12-07,"K01","Key not responding"
"380","A",2019-05-26,NA,"K01",NA
"381","A",2019-06-29,NA,"K01",NA
"382","A",2019-12-07,NA,"K01",NA
"383","A",2018-12-03,2019-08-21,"K01","Key not responding"
"384","A",2019-05-11,NA,"K01",NA
"385","A",2019-10-25,NA,"S01",NA
"386","A",2019-09-03,NA,"K01",NA
"387","A",2018-09-03,2018-09-28,"K01","Key not responding"
"388","A",2018-02-07,NA,"S01",NA
"389","A",2017-12-27,NA,"S01",NA
"390","A",2017-12-04,NA,"S01",NA
"391","A",2018-07-02,NA,"S01",NA
"392","A",2019-03-31,NA,"S01",NA
"393","A",2018-04-15,2018-08-01,"K01","Key not responding"
"394","A",2017-03-10,2017-06-06,"S01","Screen shutdown"
"395","A",2019-06-27,2019-08-16,"K01","Key not responding"
"396","A",2018-11-29,NA,"S01",NA
"397","A",2017-08-03,2020-01-02,"S01","Screen flickering"
"398","A",2018-09-02,NA,"S01",NA
"399","A",2018-03-14,NA,"S01",NA
"400","A",2019-12-24,NA,"S01",NA
"401","A",2019-03-23,2019-06-12,"K01","Key not responding"
"402","A",2017-12-17,2019-11-21,"K01","Key not responding"
"403","A",2018-07-19,2019-07-05,"K01","Key not responding"
"404","A",2019-12-23,NA,"K01",NA
"405","A",2018-12-22,2019-02-04,"K01","Key not responding"
"406","A",2018-12-14,NA,"S01",NA
"407","A",2019-10-29,2019-12-20,"K01","Key not responding"
"408","A",2019-02-18,NA,"S01",NA
"409","A",2018-12-20,NA,"S01",NA
"410","A",2018-12-14,NA,"K01",NA
"411","A",2019-07-04,NA,"S01",NA
"412","A",2018-12-29,2019-01-05,"K01","Key not responding"
"413","A",2019-07-21,NA,"S01",NA
"414","A",2018-09-24,NA,"S01",NA
"415","A",2017-05-13,2019-04-16,"S01","Screen flickering"
"416","A",2018-09-11,2018-10-17,"K01","Key not responding"
"417","A",2019-08-08,NA,"S01",NA
"418","A",2019-09-25,NA,"K01",NA
"419","A",2017-05-25,2018-12-15,"S01","Screen flickering"
"420","A",2019-03-07,NA,"S01",NA
"421","A",2017-05-04,2017-08-29,"K01","Key not responding"
"422","A",2019-01-18,2019-08-03,"K01","Key not responding"
"423","A",2019-06-12,2019-06-19,"K01","Key not responding"
"424","A",2017-11-12,2019-12-04,"S01","Screen flickering"
"425","A",2019-11-05,NA,"K01",NA
"426","A",2019-04-02,NA,"K01",NA
"427","A",2019-09-23,2019-10-24,"K01","Key not responding"
"428","A",2019-07-28,NA,"S01",NA
"429","A",2019-09-10,2019-09-13,"K01","Key not responding"
"430","A",2019-03-09,NA,"S01",NA
"431","A",2019-12-01,NA,"S01",NA
"432","A",2019-09-15,2019-11-05,"K01","Key not responding"
"433","A",2019-02-05,NA,"S01",NA
"434","A",2018-12-06,2019-03-27,"K01","Key not responding"
"435","A",2018-09-20,NA,"K01",NA
"436","A",2018-11-29,NA,"S01",NA
"437","A",2017-03-22,NA,"S01",NA
"438","A",2018-07-08,NA,"K01",NA
"439","A",2019-01-31,NA,"K01",NA
"440","A",2018-11-30,NA,"K01",NA
"441","A",2019-07-11,2019-07-20,"K01","Key not responding"
"442","A",2017-06-12,NA,"S01",NA
"443","A",2019-08-16,2019-10-10,"K01","Key not responding"
"444","A",2017-06-17,2017-07-12,"K01","Key not responding"
"445","A",2019-03-25,2019-06-13,"K01","Key not responding"
"446","A",2018-09-26,2018-10-13,"K01","Key not responding"
"447","A",2018-10-18,2019-02-09,"K01","Key not responding"
"448","A",2019-11-04,NA,"S01",NA
"449","A",2018-08-13,NA,"S01",NA
"450","A",2019-09-09,NA,"K01",NA
"451","A",2017-11-24,2019-06-09,"K01","Key not responding"
"452","A",2017-08-23,2019-08-23,"K01","Key not responding"
"453","A",2019-11-11,NA,"K01",NA
"454","A",2019-06-01,NA,"S01",NA
"455","A",2019-10-18,NA,"K01",NA
"456","A",2019-08-18,NA,"S01",NA
"457","A",2019-01-07,NA,"K01",NA
"458","A",2017-12-13,NA,"S01",NA
"459","A",2018-11-07,NA,"S01",NA
"460","A",2019-03-14,NA,"K01",NA
"461","A",2017-08-23,NA,"K01",NA
"462","A",2019-07-05,NA,"S01",NA
"463","A",2019-02-01,2019-03-05,"K01","Key not responding"
"464","A",2018-02-03,2018-03-23,"K01","Key not responding"
"465","A",2018-12-02,NA,"S01",NA
"466","A",2019-08-16,NA,"S01",NA
"467","A",2017-12-08,NA,"S01",NA
"468","A",2019-12-11,NA,"S01",NA
"469","A",2018-12-20,NA,"K01",NA
"470","A",2018-12-30,NA,"S01",NA
"471","A",2017-05-05,2017-05-25,"K01","Key not responding"
"472","A",2019-08-03,NA,"S01",NA
"473","A",2018-07-21,NA,"S01",NA
"474","A",2018-04-26,NA,"S01",NA
"475","A",2018-12-18,NA,"S01",NA
"476","A",2019-02-11,2019-05-18,"K01","Key not responding"
"477","A",2019-06-29,2019-07-22,"K01","Key not responding"
"478","A",2018-02-05,2018-04-10,"K01","Key not responding"
"479","A",2018-12-16,NA,"S01",NA
"480","A",2017-08-18,NA,"S01",NA
"481","A",2019-08-10,NA,"K01",NA
"482","A",2017-12-26,NA,"S01",NA
"483","A",2018-12-02,2018-12-19,"K01","Key not responding"
"484","A",2019-12-29,NA,"S01",NA
"485","A",2018-03-24,2018-04-13,"S01","Screen shutdown"
"486","A",2017-11-09,2018-11-05,"K01","Key not responding"
"487","A",2018-09-24,2019-10-20,"K01","Key not responding"
"488","A",2019-06-06,NA,"S01",NA
"489","A",2018-01-22,NA,"K01",NA
"490","A",2017-01-03,2018-08-02,"S01","Screen shutdown"
"491","A",2018-06-26,NA,"S01",NA
"492","A",2017-12-24,NA,"S01",NA
"493","A",2017-08-15,NA,"K01",NA
"494","A",2018-10-21,NA,"S01",NA
"495","A",2019-11-28,NA,"K01",NA
"496","A",2017-03-11,2017-04-26,"K01","Key not responding"
"497","A",2018-12-25,NA,"K01",NA
"498","A",2019-05-12,NA,"S01",NA
"499","A",2018-12-02,NA,"K01",NA
"500","A",2018-06-20,NA,"S01",NA
"501","A",2019-12-25,NA,"K01",NA
"502","A",2019-03-22,2019-06-04,"K01","Key not responding"
"503","A",2017-11-14,2018-12-25,"S01","Screen shutdown"
"504","A",2018-04-16,2018-08-10,"S01","Screen shutdown"
"505","A",2018-01-16,2018-01-20,"S01","Screen shutdown"
"506","A",2019-12-28,NA,"S01",NA
"507","A",2018-02-25,NA,"S01",NA
"508","A",2019-04-08,NA,"S01",NA
"509","A",2018-10-29,2019-01-19,"K01","Key not responding"
"510","A",2018-07-07,2019-07-13,"K01","Key not responding"
"511","A",2019-03-09,NA,"S01",NA
"512","A",2019-01-28,NA,"K01",NA
"513","A",2018-06-07,NA,"S01",NA
"514","A",2018-12-29,2019-09-23,"K01","Key not responding"
"515","A",2019-03-10,NA,"K01",NA
"516","A",2017-08-04,2018-04-21,"S01","Screen shutdown"
"517","A",2019-03-01,NA,"S01",NA
"518","A",2017-11-02,2017-12-04,"K01","Key not responding"
"519","A",2018-05-29,NA,"S01",NA
"520","A",2018-05-18,2018-06-07,"K01","Key not responding"
"521","A",2019-12-07,NA,"S01",NA
"522","A",2019-02-01,NA,"K01",NA
"523","A",2018-10-15,NA,"S01",NA
"524","A",2018-12-17,NA,"K01",NA
"525","A",2017-03-17,NA,"S01",NA
"526","A",2017-06-30,2019-11-25,"K01","Key not responding"
"527","A",2019-11-18,2019-12-04,"K01","Key not responding"
"528","A",2019-07-24,NA,"K01",NA
"529","A",2018-12-23,NA,"S01",NA
"530","A",2018-07-07,2018-07-31,"K01","Key not responding"
"531","A",2017-01-26,2019-03-19,"S01","Screen flickering"
"532","A",2019-11-20,NA,"S01",NA
"533","A",2017-09-04,2019-12-06,"S01","Screen flickering"
"534","A",2018-12-24,2019-01-17,"K01","Key not responding"
"535","A",2019-11-24,NA,"S01",NA
"536","A",2018-10-02,NA,"K01",NA
"537","A",2019-11-15,2019-12-03,"K01","Key not responding"
"538","A",2018-10-18,NA,"S01",NA
"539","A",2019-08-27,NA,"S01",NA
"540","A",2019-03-24,2019-11-23,"K01","Key not responding"
"541","A",2019-09-22,NA,"S01",NA
"542","A",2018-12-08,NA,"S01",NA
"543","A",2017-12-26,2020-01-17,"S01","Screen flickering"
"544","A",2018-12-11,NA,"S01",NA
"545","A",2019-12-22,NA,"K01",NA
"546","A",2019-02-18,NA,"K01",NA
"547","A",2019-07-26,NA,"S01",NA
"548","A",2019-04-08,2019-06-02,"K01","Key not responding"
"549","A",2019-12-25,NA,"S01",NA
"550","A",2018-03-25,NA,"S01",NA
"551","A",2017-10-24,2018-09-08,"K01","Key not responding"
"552","A",2018-01-24,2018-01-25,"K01","Key not responding"
"553","A",2018-10-25,NA,"K01",NA
"554","A",2018-06-26,2018-06-26,"K01","Key not responding"
"555","A",2018-05-24,2018-06-18,"K01","Key not responding"
"556","A",2019-11-24,NA,"S01",NA
"557","A",2018-12-02,NA,"S01",NA
"558","A",2018-05-23,NA,"S01",NA
"559","A",2019-06-24,NA,"S01",NA
"560","A",2018-08-21,NA,"S01",NA
"561","A",2019-05-09,NA,"S01",NA
"562","A",2019-02-26,2019-05-19,"K01","Key not responding"
